"min","reb","dreb","oreb","ast","stl","blk","to","pf","pts","plus_minus"
36,10,9,1,10,3,0,4,1,21,4
38,10,10,0,1,1,1,6,2,45,-2
37,4,4,0,6,3,1,1,3,33,24
35,7,6,1,10,3,0,3,1,27,14
32,6,5,1,4,0,1,4,1,23,15
41,7,6,1,8,1,0,5,2,36,12
27,5,5,0,6,1,1,2,1,20,17
35,8,7,1,9,1,1,4,3,15,-1
30,3,3,0,6,0,2,1,1,19,17
27,3,1,2,2,3,0,0,3,20,16
35,7,5,2,10,4,1,2,0,50,31
34,5,5,0,6,1,0,3,2,25,11
34,4,4,0,5,1,1,6,1,40,31
36,6,5,1,10,3,1,3,2,24,14
29,7,7,0,5,2,1,2,4,37,16
35,4,4,0,6,2,0,3,4,40,10
37,2,2,0,8,1,0,4,1,12,19
35,4,4,0,10,1,0,4,1,25,29
38,7,7,0,8,1,0,3,2,32,18
35,5,5,0,6,6,0,3,4,33,14
36,3,2,1,2,1,1,2,0,12,-17
33,5,3,2,5,0,0,3,2,23,10
37,8,7,1,5,3,0,1,1,27,3
31,3,3,0,8,2,0,3,2,31,9
33,2,0,2,2,1,0,4,3,22,16
36,9,7,2,5,0,0,3,1,18,-9
35,6,5,1,6,1,1,7,1,26,17
35,3,3,0,3,1,1,4,4,22,13
35,5,4,1,4,1,0,6,6,30,-10
36,3,3,0,4,0,2,4,1,30,16
37,4,4,0,4,2,0,3,1,46,15
39,4,4,0,4,0,0,6,3,23,5
36,6,6,0,9,0,1,3,3,28,4
32,3,3,0,10,0,1,2,3,9,0
36,9,9,0,5,0,1,5,2,14,0
37,5,2,3,5,1,0,5,3,28,23
39,10,9,1,10,2,0,3,3,27,-1
29,8,8,0,4,2,0,4,0,12,-25
28,2,2,0,2,1,0,1,0,19,24
29,3,3,0,8,3,0,1,1,18,21
44,5,5,0,8,1,0,2,3,39,-4
39,4,4,0,12,1,1,2,3,22,2
35,4,2,2,6,0,0,1,0,13,-5
29,9,7,2,7,1,0,4,3,18,23
38,8,8,0,6,3,0,4,1,29,13
36,7,5,2,8,3,0,5,5,19,-3
38,5,5,0,9,1,1,1,0,40,18
32,1,1,0,7,2,0,4,4,20,21
37,9,9,0,10,1,0,4,2,18,4
30,7,6,1,2,0,0,4,2,16,-14
39,2,2,0,10,1,0,3,5,35,9
37,5,5,0,8,1,0,2,3,24,8
34,2,2,0,2,0,0,4,2,33,-19
39,3,3,0,6,0,0,2,2,25,-2
27,5,5,0,14,1,1,3,3,18,19
38,4,3,1,10,2,0,1,0,27,-4
33,5,4,1,4,0,0,4,1,34,-10
40,5,5,0,9,1,0,3,3,21,-8
36,4,4,0,1,0,0,4,0,30,-12
35,5,5,0,5,3,0,4,4,15,6
38,9,9,0,3,2,0,2,1,34,18
33,5,4,1,8,1,1,4,1,8,14
35,6,6,0,6,1,0,2,1,47,17
14,1,1,0,2,0,0,4,2,3,-5
22,3,1,2,4,1,0,1,1,16,17
23,3,3,0,4,1,1,2,3,34,32
31,3,3,0,6,0,0,4,3,27,3
37,3,3,0,8,4,1,2,1,33,-4
38,5,4,1,5,2,0,5,2,30,7
37,3,3,0,4,0,1,1,5,24,-9
39,9,6,3,8,1,0,5,1,27,-11
35,2,2,0,6,1,0,1,2,30,21
38,5,5,0,8,1,0,3,3,32,6
25,3,3,0,4,0,0,2,1,14,-37
40,7,7,0,5,1,2,3,3,29,16
31,12,10,2,4,1,1,3,3,21,23
37,8,8,0,5,0,0,3,4,32,15
39,5,4,1,11,0,0,3,5,31,19
33,5,5,0,8,1,0,2,2,20,-23
35,3,3,0,9,2,1,2,2,15,11
